de_DealerID,de_DealerName,de_GroupID,gp_Name,de_FranchiseID,fr_FranchiseName
189,Action Ford & Mazda Roodepoort,26,Action Group,55,Action Ford and Mazda
314,Alberante BMW,49,Alberante,86,Alberante BMW
317,Alberante GM,49,Alberante,88,Alberante GM
662,Allen Ford Warwick,93,Allen Ford UK Limited,193,Allen Ford UK Limited
781,Multifranchise Brackenfell,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
782,Multifranchise Cape Town,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
783,Multifranchise Diep River,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
784,Multifranchise Somerset West,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
785,Multifranchise Tableview,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
786,Multifranchise Tokai,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
787,Multifranchise Tygervalley,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
810,Kia Brackenfell,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
811,TATA Brackenfell,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
812,Renault Brackenfell,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
813,Kia Cape Town,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
814,TATA Cape Town,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
815,Renault Cape Town,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
816,Kia Diep River,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
817,TATA Diep River,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
818,Renault Diep River,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
819,Kia Somerset West,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
820,TATA Somerset West,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
821,Renault Somerset West,117,AMH Multifranchise Western Cape,258,AMH Multifranchise Western Cape
