id,GroupName,Franchise,Dealers,Criteria,ExtractType,ShotID,ExtractID,DueDate,Notes,AddedDate,Timeline,AddedBy,status,CompletedDate
597,CCS,CCS,DriversCircle - TEST,New Car Deals Online365,Email,,0.0,2024-10-31,,2024-10-24 00:00:00,Weekly,,,
598,CCS,CCS,DriversCircle - TEST,Used Car Deals Online365,Email,,0.0,2024-10-31,,2024-10-24 00:00:00,Weekly,,,
599,CCS,CCS,DriversCircle - TEST,We Buy Your Car Online365,Email,,0.0,2024-10-31,,2024-10-24 00:00:00,Weekly,,,
600,Supergroup,Supergroup Western Cape,All,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
601,Supergroup,Supergroup Mercedes Benz,Mercedes-Benz Grand Central Motors,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
602,Supergroup,Mercedes-Benz Commercial Vehicles Group,All,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
603,Supergroup,Super Group Toyota,Rand Stadium Toyota The Glen,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
604,Supergroup,Super Group Lexus,Rand Stadium Lexus The Glen,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
605,Supergroup,Supergroup Nissan,Nash Nissan,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
606,Supergroup,Supergroup Nissan,Northwest Nissan,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
607,Supergroup,Supergroup Nissan,Edenvale Nissan,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
608,Supergroup,Supergroup Nissan,Lionel Motors Nissan,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
609,Supergroup,Supergroup Renault,Lionel Motors Renault,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
610,Supergroup,Supergroup Ford,Casseys Auto Benoni,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
611,Supergroup,Supergroup Mazda,Mazda East Rand,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
612,Supergroup,Supergroup Mazda,Mazda Edenvale,366 Daily VIN list,Vehicle,,0.0,2024-10-25,,2024-10-22 00:00:00,Daily,,,
613,Supergroup,Supergroup Western Cape,All,Entire Merc VIN List,Vehicle,,0.0,2024-11-21,,2024-10-21 00:00:00,Monthly,,,
614,Supergroup,Supergroup Mercedes Benz,Mercedes-Benz Grand Central Motors,Entire Merc VIN List,Vehicle,,0.0,2024-10-21,,2024-10-21 00:00:00,Monthly,,,
617,CCS,CCS,DriversCircle - TEST,Customer4Life Service Reminders,Email,,0.0,2024-10-28,,2024-10-28 00:00:00,Weekly,,,
618,Supergroup,Supergroup Western Cape,All,Approaching Service Broken up daily - Vehicles older than 2 years by plan end date,Customer,,0.0,2024-10-28,,2024-10-21 00:00:00,Weekly,,,
619,Supergroup,Supergroup Mercedes Benz,Mercedes-Benz Grand Central Motors,Approaching Service Broken up daily - Vehicles older than 2 years by plan end date,Customer,,0.0,2024-10-28,,2024-10-21 00:00:00,Weekly,,,
622,CCS,CCS,DriversCircle - TEST,Customer4Life Service Reminders,SMS,,0.0,2024-10-31,,2024-10-24 00:00:00,Weekly,,,
629,CCS,CCS,DriversCircle - TEST,Customer4Life Maintenaince - Service Plan - Warranty 90 Days,Email,,0.0,2024-11-01,,2024-11-01 00:00:00,Monthly,,,
630,CCS,CCS,DriversCircle - TEST,Customer4Life Maintenaince - Service Plan - Warranty 60 Days,Email,,0.0,2024-11-01,,2024-11-01 00:00:00,Monthly,,,
